Recettes,Ingrédients
Artichauts vinaigrette (pour bébé et toute la famille).html,"['2 à 4  artichaut(s)', '500 g pomme(s) de terre', '1 c. à café moutarde douce', '¼ tasse vinaigre', '½ tasse huile(s) végétale(s)', '1  citron', '1  échalote', 'qq brin(s) ciboulette']"
Asperges blanches et salade de pommes de terre.html,"['500 g asperge(s) blanche(s)', '500 g pomme(s) de terre', '1 tige(s) ciboule', '1 c. à café moutarde douce', '¼ tasse vinaigre', '½ tasse huile(s) végétale(s)', '½  citron(s)']"
Aubergines à la parmigiana.html,"['2  aubergine(s)', '400 g tomate(s)', '1  oignon(s)', '1 gousse ail', '1  mozzarella', '50 g parmesan', '  huile d’olive']"
Aumônières de légumes au saumon (Recette de Noël).html,"['4  crêpes', '200 g saumon', '1  poireau(x)', '1  carotte(s)', '1  navet(s)', '½ c. à café curry', '10 feuilles persil', '2 c. à soupe huile d’olive']"
Banana Brownie.html,"['300 g banane(s)', '3  oeuf(s)', ""90 g purée d'oléagineux"", '75 g farine', '45 mL lait', '35 g poudre de caroube', '1 c. à café levure', '1 poignée fruits à coque']"
Blanquette de veau (pour bébé et toute la famille).html,"['250 g veau', '250 g carotte(s)', '250 g champignons de Paris', '1 branche(s) céleri', '1  oignon(s)', '1  citron(s)', '150 g riz', '20 g farine', '20 cL crème liquide', '1 branche(s) persil', '1 branche(s) thym', '1  feuille(s) de laurier']"
Blanquette végétarienne aux haricots blancs.html,"['250 g haricots blancs', '250 g champignons', '300 g carotte(s)', '1  poireau(x)', '1  oignon(s)', '1 gousse ail', '1  citron(s)', '10 cL crème entière', '  persil', '1 c. à soupe huile d’olive', '100 g riz']"
Bo-bun facile (aux nems maison).html,"['2  carotte(s)', '1  concombre', '1  sucrine', '100 g vermicelles de riz', '5  feuille(s) de riz', '1  oeuf(s)', '1 poignée cacahuètes', '  herbes aromatiques', '  gingembre', '1 c. à soupe purée de cacahuètes', '  vinaigre', '  huile(s) végétale(s)', '½  citron']"
Boulets à la liégeoise (revisités pour bébé et toute la famille).html,"['250 g haché de boeuf + porc', '1  oeuf(s)', '½  oignon(s)', '1 tranche(s) pain', '2 brin(s) persil', '20 g beurre', '100 mL lait', '3  pomme(s)', '½  oignon(s)', '1 c. à soupe raisins secs', '1  clou de girofle', '1  baie de genièvre', '1 branche(s) thym', '1  feuille(s) de laurier', '1 c. à soupe vinaigre', '200 g pomme(s) de terre', '200 g carotte(s)', '200 g céleri-rave', '2 c. à soupe huile d’olive']"
"Boulettes aux lentilles vertes, riz et butternut rôti.html","['½  butternut', '75 g riz', '75 g lentilles', '1 petit oignon', '1 c. à soupe farine', '  chapelure', '  cumin', '  huile d’olive']"
"Boulettes aux lentilles, champignons avoine (et sauce tomates).html","['250 g champignons de Paris', '1  oignon(s)', '1 gousse ail', '400 g tomates concassées', '125 g riz', '75 g lentilles vertes', ""50 g flocons d'avoine"", '  origan', ""  huile d'olive""]"
"Boulettes aux pois chiches, purée de carottes.html","['750 g carotte(s)', '180 g pois chiches', ""70 g flocons d'avoine"", '1  échalote(s)', '  épices', '  huile d’olive', '  huile(s) végétale(s)', '  herbes aromatiques']"
Boulettes de poisson et purée de fenouil à l’aneth (pour bébé et toute la famille).html,"['250 g poisson blanc', '300 g pomme(s) de terre', '1 bulbe(s) fenouil', '1  échalote(s)', '½  citron(s)', '1 c. à soupe huile d’olive', '2 c. à soupe huile de colza', '1 c. à café aneth', '10 feuilles coriandre', '1 pincée(s) cumin']"
Boulettes d’aubergines à la sauce tomate.html,"['250 g aubergine(s)', '200 g pois chiches', '200 g tomates concassées', '150 g semoule de couscous', '60 g farine de pois chiches', '1  échalote(s)', '2 c. à soupe fécule de maïs', ""2 c. à soupe huile d'olive"", '1 gousse(s) ail', '5 g beurre', '  basilic']"
"Bricks à la courgette, feta.html","['400 g courgette(s)', '100 g feta', '10  feuilles de brick', '1 poignée pignons de pin', '1 pincée curry', ""1 c. à soupe huile d'olive"", '1  salade verte', '  vinaigrette']"
Brownie pour bébé et toute la famille.html,"['270 g patate(s) douce(s)', ""60 g poudre d'amandes"", ""50 g farine d'épeautre"", '50 g farine de riz', '40 g huile(s) végétale(s)', '40 g sirop de dattes', '40 g noix de pécan', '2 c. à soupe poudre de caroube', ""2 c. à café purée d'oléagineux"", '1 c. à café bicarbonate de soude alimentaire']"
Brownie salé carottes petits pois.html,"['500 g carotte(s)', '100 g petits pois', '2  oeuf(s)', ""70 g flocons d'avoine"", '70 g farine', '½ sachet(s) poudre à lever', '3 c. à soupe huile d’olive', '  cumin']"
Burger végétarien à la betterave (pour bébé et toute la famille).html,"['2  pains à burgers', '125 g betterave(s)', '125 g pois chiches', ""50 g flocons d'avoine"", '1  oignon(s)', '1 gousse(s) ail', '1 pincée(s) épices', '2 feuille(s) salade verte', '2 tranche(s) tome de brebis', '1  patate(s) douce(s)', '3  carotte(s)', '  huile d’olive', '  farine', '  épices', '1  yaourt', '  herbes aromatiques', '  sel, poivre']"
"Burger végétarien à la courgette, pois chiches et brie.html","['1  courgette', '250 g pois chiches', '100 g farine', '1 tige(s) ciboule', '1 gousse ail', '  herbes aromatiques', '  épices', '2  pains à burgers', '1  brie', '1  sucrine', '5  tomates séchées', '½  citron(s)', '  huile(s) végétale(s)', '150 g courgette(s)']"
Butternut farci au riz et à la feta.html,"['1  butternut', '1  salade verte', '40 cL bouillon de légumes', '150 g riz pour risotto', '100 g feta', '1  échalote(s)', ""2 c. à soupe huile d'olive"", '½ c. à café origan', '  sel, poivre', '  persil']"
Bûche de Noël (pour bébé et toute la famille).html,"['2  oeuf(s)', '60 g sucre', '60 g farine', '30 g beurre', '1 c. à café poudre à lever', '150 g compote de fruits', '2  petit-suisse(s)']"
Cabillaud à la crème de petits pois et brocolis (pour bébé et toute la famille).html,"['2  dos de cabillaud', '300 g petits pois', '300 g brocoli', '½  citron(s)', '1 c. à café aneth', '1 c. à soupe huile d’olive']"
Cake butternut roquefort et noix.html,"['250 g butternut', '50 g noix', '50 g roquefort', '200 g farine', '3  oeuf(s)', '50 mL lait', '30 g huile d’olive', '1 sachet(s) poudre à lever']"
Cake courgette menthe (à la farine de pois chiches).html,"['2  courgette(s)', '150 g farine', '100 g farine de pois chiches', '3  oeuf(s)', '150 mL lait', '80 g fromage râpé', ""3 c. à soupe huile d'olive"", '1 bouquet menthe']"
Cake moelleux aux prunes.html,"['4  prune(s)', '20 cL lait', '200 g farine', ""100 g poudre d'amandes"", '2  oeuf(s)', '40 g beurre', '40 g sirop de dattes', '2 c. à café poudre à lever', '  amandes effilées']"
Cake vegan aux carottes façon dahl.html,"['200 g carotte(s)', '100 g lentilles corail', ""100 g flocons d'avoine"", '20 cL crème de coco', '1 c. à café curry', '½ sachet(s) poudre à lever', '  graines de courges']"
Caldo verde (soupe portugaise au chou frisé).html,"['½  chou vert', '2  pomme(s) de terre', '2  saucisses', '1,5 L bouillon de légumes', '  persil']"
Carrot cake à l’orange glacé au fromage blanc.html,"['250 g carotte(s)', '1  orange(s)', '80 g farine', '2  oeuf(s)', '70 g noisettes', '70 g amandes', '50 g cassonade', '25 g huile(s) végétale(s)', '½ sachet(s) poudre à lever', '1 c. à café cannelle', '100 g fromage blanc']"
Ceviche de cabillaud et patates douces (pour bébé et toute la famille).html,"['1 kg patate(s) douce(s)', '300 g dos de cabillaud', '½  oignon(s) rouge(s)', '1 bouquet coriandre', '5  citron(s) vert(s)', '2 c. à soupe huile d’olive', '2 pincée(s) piment d’Espelette', '  sel']"
Chakchouka de courgette.html,"['2  courgette(s)', '400 g tomates concassées', '1  poivron(s) rouge(s)', '3  oeuf(s)', '1  échalote(s)', ""2 c. à soupe huile d'olive"", '1 c. à café paprika', '  sel, poivre', '  pain pita']"
Chakchouka.html,"['2  poivron(s) rouge(s)', '300 g tomate(s)', '½  oignon(s)', '1 gousse ail', '  épices', '  herbes aromatiques', '2 à 4  oeuf(s)', ""  huile d'olive"", '150 g riz']"
Chili sin carne (pour bébé et toute la famille).html,"['500 g tomate(s)', '3  carotte(s)', '140 g maïs', '250 g haricots rouges', '200 g riz', '1  oignon(s)', '2 c. à café épices mexicaines', '1 c. à soupe huile d’olive']"
Chou fleur rôti au paprika.html,"['½  chou-fleur', '150 g riz', '30 g parmesan', '20 g farine', ""3 c. à soupe huile d'olive"", '1 c. à café paprika', '  sel, poivre', '  coriandre']"
Choux de Bruxelles à la crème et polenta crémeuse.html,"['600 g choux de Bruxelles', '30 cL lait', '200 mL crème liquide', '100 g polenta', '1  échalote(s)', '1 gousse(s) ail', '25 g parmesan', '20 g beurre', '1 c. à soupe moutarde', '  sel, poivre', '  persil']"
Conchiglioni épinards et ricotta (pour bébé et toute la famille).html,"['150 g pâtes à farcir', '400 g épinards', '200 g ricotta', '200 g coulis de tomates', '5 feuilles basilic', '20 g parmesan', ""  huile d'olive"", '  sel, poivre']"
Coquillettes au jambon (pour bébé et toute la famille).html,"['200 g coquillettes', '3 tranche(s) jambon blanc', '250 g carotte(s)', '150 g navet(s)', '3  tomate(s)', '1  oignon(s)', 'qq brin(s) ciboulette', '50 g fromage râpé', '1 c. à soupe huile d’olive', '1 c. à soupe huile de colza', '  sel, poivre']"
Courge butternut rôtie aux amandes (pour bébé et toute la famille).html,"['1  butternut', '30 g amandes', '3 pincée(s) thym', '3 c. à soupe huile d’olive']"
Courgettes farcies (pour bébé et toute la famille).html,"['4  courgette(s) ronde(s)', '1  poivron(s) rouge(s)', '1  oignon(s)', '100 g riz', '100 g ricotta', '1 poignée(s) pignons de pin', '8 feuilles basilic', '1 c. à soupe huile d’olive']"
Courgettes rondes farcies à la semoule et aux tomates.html,"['5  courgette(s) ronde(s)', '100 g tomates concassées', '100 g semoule de couscous', '1  échalote(s)', '1 c. à soupe concentré de tomates', '1 gousse(s) ail', '5 g beurre', '½ c. à café romarin']"
Couscous aux légumes (pour bébé et toute la famille).html,"['250 g carotte(s)', '250 g courgette(s)', '250 g tomates concassées', '125 g navet(s)', '125 g céleri-branche', '1  oignon(s)', '50 g pois chiches', '200 g semoule de couscous', '10 feuilles persil', '1 c. à café ras-el-hanout', '2 c. à soupe huile d’olive']"
Couscous aux légumes racines.html,"['250 g carotte(s)', '250 g céleri-rave', '150 g navet(s)', '150 g panais', '20 cL coulis de tomates', '1 poignée raisins secs', '125 g semoule de couscous', '  cumin', '  cannelle', '  huile(s) végétale(s)']"
"Couscous aux navets, carottes et raisins secs.html","['250 g navet(s)', '200 g carotte(s)', '10 cL coulis de tomates', '1 poignée raisins secs', '1  oignon', '100 g semoule de couscous', '  épices', '  huile d’olive', '  huile de colza']"
Croque-monsieur aux poireaux (pour bébé et toute la famille).html,"['2  poireau(x)', '2 tranche(s) jambon blanc', '4 tranche(s) pain de mie', '60 g emmental', '2 c. à soupe huile(s) végétale(s)']"
Croquettes de millet aux légumes (pour bébé et toute la famille).html,"['120 g millet', '1  oeuf(s)', '½  oignon(s)', '500 g carotte(s)', '250 g pousses d’épinards', '2 c. à soupe fécule de maïs', '½ c. à café  épices au choix', '150 g yaourt grec', '½  citron(s)', '4 brin(s) ciboulette', '2 c. à soupe huile d’olive']"
Croziflette au potimarron (pour bébé et toute la famille).html,"['200 g crozets', '½  potimarron', '200 g jambon blanc', '1  oignon(s)', '½  reblochon', '25 cL crème fraîche', '1 c. à soupe huile d’olive', '  poivre']"
Crumble au potimarron et noisettes (pour bébé et toute la famille).html,"['1  potimarron', '1  oignon(s)', '50 g noisettes en poudre', '50 g parmesan', '50 g farine', '50 g beurre', ""1 c. à soupe huile d'olive""]"
"Crumble au potiron, carottes, parmesan et noisettes.html","['400 g carotte(s)', '600 g potiron', '100 g farine', '50 g noisettes en poudre', '50 g parmesan', '50 g beurre']"
Crumble aux pommes et bananes (pour bébé et toute la famille).html,"['4  pomme(s)', '2  banane(s)', '1 c. à café cannelle', '100 g beurre', ""100 g poudre d'amandes"", '100 g farine', '100 g sucre de canne']"
Crumble de brocoli et tomates.html,"['1  brocoli', '200 g tomate(s)', '100 g farine', ""30 g poudre d'amandes"", ""30 g huile d'olive"", '80 g feta']"
Crumble de mûres.html,"['250 g mûres', '100 g compote de pommes', ""50 g flocons d'avoine"", '50 g beurre', ""50 g poudre d'amandes"", '30 g farine de riz', '30 g sirop de dattes']"
Crumble de tomates au fromage de chèvre.html,"['5  tomate(s)', '1  salade verte', '100 g fromage de chèvre', '1  échalote(s)', '35 g farine', '35 g beurre', '20 g parmesan', '2 c. à soupe chapelure', ""1 c. à soupe huile d'olive"", '1 gousse(s) ail', '  sel, poivre', '½ c. à café herbes de Provence']"
Crumble d’aubergines aux oignons caramélisés.html,"['500 g aubergine(s)', '2  oignon(s) jaune(s)', '1 gousse(s) ail', '100 g farine', ""5 c. à soupe  huile d'olive"", '½ c. à café thym']"
Crumble fraise rhubarbe.html,"['250 g fraises', '100 g compote de pommes', '1 tige(s) rhubarbe', ""50 g flocons d'avoine"", '50 g beurre', ""50 g poudre d'amandes"", '30 g farine de riz', '30 g sirop de dattes']"
Crumble pêches abricots.html,"['100 g abricot(s)', '100 g pêche(s)', '100 g compote de pommes', ""50 g flocons d'avoine"", '50 g beurre', ""50 g poudre d'amandes"", '30 g farine de riz', '30 g sirop de dattes']"
"Curry de butternut, patate douce et lentilles corail.html","['800 g butternut', '250 g patate(s) douce(s)', '40 g lentilles corail', '20 cL lait de coco', '1 c. à café curry', '  coriandre']"
Curry de carottes et pois chiches au gingembre.html,"['400 g carotte(s)', '200 mL lait de coco', '150 g pois chiches', '150 g semoule de couscous', '½  citron(s)', ""1 c. à soupe huile d'olive"", '10 g beurre', '2 cm gingembre', '1 gousse ail', '½ c. à café curry doux', '  persil']"
"Curry de chou-fleur aux lentilles corail, riz.html","['½  chou-fleur', '1  carotte', '50 g lentilles corail', '150 g riz', '20 cL lait de coco', '  curry', '  coriandre']"
"Curry de chou-fleur, carotte et patate douce (pour bébé et toute la famille).html","['500 g chou-fleur', '250 g patate(s) douce(s)', '250 g carotte(s)', '1  oignon(s)', '1 gousse(s) ail', '40 cl lait de coco', '1 c. à café curry doux', '2 c. à soupe huile d’olive', '  coriandre', '  noix de cajou', '  sel, poivre']"
"Curry de chou-fleur, patate douce et pois chiches, riz.html","['400 g chou-fleur', '300 g patate(s) douce(s)', '125 g pois chiches', '20 cL lait de coco', '  curry', '150 g riz']"
Curry de courgettes au lait de coco (pour bébé et toute la famille).html,"['4  courgette(s)', '150 g riz', '100 g lentilles corail', '20 cL lait de coco', '1 c. à café curry']"
"Curry de courgettes et pois chiches, riz.html","['600 g courgette(s)', '125 g pois chiches', '125 g riz', '20 cL lait de coco', '  curry']"
Curry de lentilles au lait de coco.html,"['300 mL bouillon de légumes', '200 mL lait de coco', '150 g riz', '125 g lentilles', '2  carotte(s)', '1  courgette(s)', '1  oignon(s)', '1 c. à soupe concentré de tomates', '1 c. à soupe huile(s) végétale(s)', '1 c. à café curry', '1 c. à café curcuma', '  persil']"
Curry de patate douce et banane plantain.html,"['500 g patate(s) douce(s)', '1  banane(s) plantain', '200 mL lait de coco', '100 g riz', '1  échalote(s)', '1 c. à soupe huile(s) végétale(s)', '½ c. à café curcuma', '½ c. à café curry', '  coriandre']"
Curry de poireaux et carottes.html,"['300 g carotte(s)', '1  poireau(x)', '1  oignon(s)', '1  citron vert', '1 gousse(s) ail', '2 cm gingembre', '240 g pois chiches', '200 mL lait de coco', '200 g tomates concassées', '150 g riz', '2 c. à soupe huile(s) végétale(s)', '1 c. à café curry', '1 c. à café curcuma', '1 c. à café coriandre moulue', '  persil']"
Curry de pois chiches et chou kale.html,"['400 mL lait de coco', '250 g chou kale', '150 g riz', '130 g pois chiches', '1  échalote(s)', '1 c. à soupe huile(s) végétale(s)', '1 c. à soupe jus de citron', '½ c. à café curry', '  persil']"
Dahl de butternut et lentilles corail (pour bébé et toute la famille).html,"['1 petit butternut', '100 g lentilles corail', '1  oignon(s)', '250 g riz', '100 mL lait de coco', '2 c. à soupe concentré de tomates', '  huile d’olive', '1 cm gingembre', '½ c. à café cumin', '½ c. à café curry', '  coriandre']"
Dahl de chou-fleur et lentilles corail.html,"['500 g chou-fleur', '100 g lentilles corail', '20 cL lait de coco', '10 cL coulis de tomates', '1  oignon(s)', '  huile d’olive', '  épices']"
Dahl de lentilles corail aux carottes et épinards.html,"['350 mL bouillon de légumes', '150 g lentilles corail', '2  carotte(s)', '150 g riz', '100 g épinards', '100 mL lait de coco', '1  oignon(s)', '1 c. à soupe huile(s) végétale(s)', '1 c. à café gingembre', '1 c. à café cumin', '1 c. à café paprika', '½ c. à café curcuma']"
Dahl de lentilles corail et courgette.html,"['400 g courgette(s)', '250 g tomate(s)', '75 g lentilles corail', '150 g riz', '20 cL lait de coco', '½  oignon(s)', '1 gousse ail', '1 c. à café curry', '1 bouquet coriandre', ""  huile d'olive""]"
Duo de carottes et pommes de terre rôties aux épices.html,"['500 g carotte(s)', '500 g pomme(s) de terre', '1 gousse ail', '2 c. à soupe huile d’olive', '  épices']"
Duo de muffins carottes et épinards à la ricotta.html,"['200 g carotte(s)', ""200 g pousses d'épinards"", '125 g ricotta', '200 g farine', '½ sachet(s) poudre à lever', '2  oeuf(s)', '100 mL lait']"
Enchiladas aux haricots rouges.html,"['5  galette(s) de blé', '250 g haricots rouges', '250 g carotte(s)', ""125 g pousses d'épinards"", '1  oignon', '1 gousse ail', '400 g tomates concassées', '10 cL coulis de tomates', '  fromage râpé', '  origan', ""  huile d'olive""]"
Endives au jambon sans amertume (pour bébé et toute la famille).html,"['5  endive(s)', '3  patate(s) douce(s)', '3 tranche(s) jambon blanc', '500 mL lait', '2 c. à soupe farine', '2 c. à soupe huile d’olive', '1 c. à café muscade moulue', '½  citron(s)', '1  morceau de sucre', '60 g fromage râpé']"
Fajitas (pour bébé et toute la famille).html,"['4  galette(s) de blé', '2  poivron(s)', '2  carotte(s)', '1  oignon(s)', '1  avocat(s)', '140 g maïs', '250 g haricots rouges', '1 c. à café cumin', '1 c. à café paprika', '1 bouquet coriandre', '1  citron vert', '2 c. à soupe huile d’olive']"
"Feuilletés chèvre-épinards, poêlée de champignons.html","['300 g épinards', '250 g champignons', '60 g mâche', '1  pâte feuilletée', '½  bûche de fromage de chèvre', '1  oignon(s)', '1 c. à soupe farine', '  huile d’olive', '  poivre', '  persil']"
Flan aux brocolis (pour bébé et toute la famille).html,"['1  brocoli', '4  oeuf(s)', '4 c. à soupe farine', '4 c. à soupe crème fraîche', '30 g parmesan', '1 bouquet basilic']"
"Fleurettes de brocoli et riz blanc, sauce au yaourt et aneth.html","['1  brocoli', '150 g riz', '1  yaourt nature', '1 c. à soupe huile(s) végétale(s)', '  aneth']"
Frites de patate douce et crème de feta au tahini.html,"['700 g patate(s) douce(s)', '100 g feta', '1  citron(s)', '50 g tahini', '2 c. à soupe huile(s) végétale(s)', '2 c. à café paprika', '½ c. à café cumin', '  menthe']"
Frites de polenta et brocolis.html,"['150 g polenta', '1  brocoli', '40 g parmesan', '  épices', '1 cube bouillon cube de légumes']"
Galettes aux blettes et quinoa.html,"['250 g blettes', '1  carotte(s)', '1  oignon(s)', '100 g quinoa', '50 g farine de sarrasin', '50 g fécule de maïs', '1  oeuf(s)', '50 g bûche de fromage de chèvre', '  huile(s) végétale(s)', '1  salade verte']"
Galettes bretonnes aux poireaux (pour bébé et toute la famille).html,"['125 g farine de sarrasin', '300 mL eau', '2 c. à soupe huile(s) végétale(s)', '3  poireau(x)', '½  camembert', '30 g beurre', '  poivre']"
"Galettes de betterave, haricots rouge et avoine et frites de patate douce.html","['150 g betterave(s)', '125 g haricots rouges', ""50 g flocons d'avoine"", '1 petit oignon', '500 g patate(s) douce(s)', '  paprika', '  cumin', '  huile d’olive']"
Gaspacho andalou et tartines de fromage frais.html,"['600 g concombre', '250 g poivron(s) rouge(s)', '250 g tomate(s)', ""2 c. à soupe huile d'olive"", '10 feuilles basilic', '  pain', '  fromage frais', '  sel, poivre']"
Gaspacho de concombre et tartines.html,"['2  concombre', '1 tige(s) ciboule', '1 gousse ail', '½  citron', '1 poignée menthe', '2 c. à soupe huile d’olive', '  sel, poivre', '1  pain de campagne', '  fromage frais', '  tomates séchées']"
Gaufres aux épinards.html,"['250 g épinards', '1  yaourt nature', '2  oeuf(s)', '150 g farine', '1 c. à soupe huile d’olive']"
"Gnocchis de butternut, sauce au morbier (Recette de Noël).html","['500 g butternut', '150 g pomme(s) de terre', '150 g farine', '1 pincée(s) muscade moulue', '75 g morbier', '20 cl crème liquide', '  huile(s) végétale(s)', '  poivre']"
Gnocchis de patate douce (pour bébé et toute la famille).html,"['600 g patate(s) douce(s)', '150 g farine', '50 g parmesan']"
Gnocchis à la crème de fenouil et petits pois.html,"['250 g fenouil', '125 g petits pois', '400 g gnocchis', '  aneth', '  huile(s) végétale(s)']"
Gratin dauphinois au céleri.html,"['500 g pomme(s) de terre', '500 g céleri-rave', '20 cL crème entière', '250 mL lait', '1 gousse ail', '  muscade moulue', '  poivre', ""50 g pousses d'épinards"", '  huile(s) végétale(s)']"
Gratin dauphinois.html,"['700 g pomme(s) de terre', '1  salade verte', '20 cL crème liquide', '150 mL lait entier', '30 g fromage râpé', '10 g beurre', '1 gousse(s) ail', '1 pincée(s) muscade moulue', '  sel, poivre']"
Gratin de blettes (pour bébé et toute la famille).html,"['1 botte(s) blettes', '250 g pomme(s) de terre', '20 g beurre', '20 g farine', '250 mL lait', '1 pincée(s) muscade moulue', '50 g fromage râpé']"
Gratin de chou-fleur et quinoa à l’amande.html,"['600 g chou-fleur', '100 g quinoa', '20 cL crème entière', ""40 g poudre d'amandes"", '  poivre']"
Gratin de gnocchis au brocoli.html,"['1  brocoli', '400 g gnocchis', '20 cL crème', '  fromage râpé']"
Gratin de navets.html,"['800 g navet(s)', '50 g gruyère râpé', '3 c. à soupe crème fraîche', '  sel, poivre']"
"Gratin de pâtes, saumon et épinards (pour bébé et toute la famille).html","['600 g épinards', '250 g pâtes', '200 g saumon', '2 c. à soupe huile d’olive', '2 c. à soupe farine', '300 mL lait', '  muscade moulue', '  chapelure']"
Gratin d’endives aux poires et noix.html,"['4  endive(s)', '1  salade verte', '1  poire(s)', '100 g fromage de chèvre frais', '1  oeuf', '50 g crème fraîche', '30 g beurre', '20 g noix', '  persil', '  sel, poivre']"
Gratin d’endives et patate douce.html,"['4  endive(s)', '500 g patate(s) douce(s)', '250 mL lait', '25 g beurre', '25 g farine', '  muscade moulue']"
Gratin polenta épinards et ricotta.html,"['400 g épinards', '125 g ricotta', '125 g polenta']"
